DateTime,Entries,UniqueIPs
1520978521,6230,6276
1520979721,6192,6238
1520980921,6145,6191
1520982122,6127,6171
1520982722,6118,6164
1520983322,6098,6142
1520983922,6095,6139
1520984522,6095,6140
1520985121,6129,6174
1520985722,6156,6201
1520986321,6167,6212
1520986921,6174,6218
1520988122,6092,6140
1520988723,6102,6151
1520989322,6093,6142
1520990521,6066,6114
1520991722,6110,6158
1520992322,6115,6163
1520992922,6143,6191
1520993522,6140,6187
1520994121,6141,6188
1520994722,6151,6196
1520995322,6111,6156
1520995921,6156,6201
1520996521,6163,6208
1520997121,6186,6231
1520997722,6207,6252
1520998322,6245,6290
1520998921,6271,6316
1520999522,6260,6305
1521000122,6301,6346
1521001321,6265,6311
1521001922,6232,6277
1521002521,6261,6306
1521003722,6231,6276
1521004322,6167,6211
1521004921,6201,6245
1521006122,6155,6199
1521007322,6152,6197
1521008522,6142,6187
1521009121,6176,6221
1521009722,6121,6165
1521010321,6132,6176
1521010921,6028,6071
1521011522,6025,6067
1521012122,6077,6120
1521013322,6098,6143
1521013922,6098,6143
1521014522,6048,6093
1521015122,6047,6091
1521015722,6067,6111
1521016322,6084,6128
1521016921,6120,6164
1521017521,6105,6150
1521018122,6130,6177
1521018722,6147,6194
1521019321,6153,6200
1521020522,6191,6238
1521021722,6181,6228
1521022322,6196,6241
1521022922,6131,6177
1521023522,6187,6233
1521024121,6151,6196
1521024722,6174,6219
1521025322,6192,6237
1521025922,6178,6223
1521026522,6213,6259
1521027121,6196,6242
1521027722,6155,6202
1521028922,6091,6138
1521030122,6071,6117
1521030722,6093,6139
1521032521,6047,6090
1521033722,6093,6136
1521034922,6094,6136
1521036121,6111,6153
1521036722,6116,6159
1521037322,6093,6137
1521037921,6120,6165
1521038522,6115,6157
1521039121,6138,6180
1521039721,6142,6185
1521040321,6131,6175
1521040921,6118,6161
1521042121,6090,6135
1521042722,6060,6106
1521043922,6065,6112
1521044521,6077,6124
1521045122,6039,6086
1521045721,6049,6097
1521046922,6036,6084
1521047521,6044,6092
1521048122,6012,6060
1521049321,5975,6023
1521050521,5965,6013
1521051721,5915,5962
1521052321,5899,5945
1521052922,5893,5942
1521053522,5904,5953
1521054121,5889,5938
1521054721,5802,5850
1521055321,5832,5881
1521055921,5874,5926
1521056521,5880,5932
1521057122,5861,5912
1521057722,5797,5847
1521058322,5836,5887
1521058922,5853,5903
1521060121,5829,5880
1521061321,5802,5854
1521062521,5842,5894
1521063121,5812,5862
1521063722,5816,5866
1521064322,5873,5925
1521064921,5891,5943
1521066122,5846,5900
1521067321,5836,5890
1521068521,5865,5920
1521069121,5837,5890
1521069721,5878,5934
1521071521,5856,5913
1521072122,5806,5863
1521072721,5773,5830
1521073322,5740,5797
1521074522,5767,5823
1521075122,5772,5826
1521075721,5798,5852
1521076321,5813,5864
1521076922,5771,5823
1521077521,5801,5855
1521078122,5808,5862
1521078721,5796,5850
1521079321,5809,5865
1521080521,5770,5824
1521081721,5761,5815
1521082921,5766,5822
1521083521,5728,5780
1521084122,5764,5816
1521085321,5728,5780
1521085922,5777,5830
1521086521,5799,5852
1521087121,5795,5848
1521087721,5805,5858
1521088921,5734,5785
1521090121,5719,5770
1521090721,5732,5791
1521091322,5777,5836
1521092522,5785,5844
1521093122,5795,5854
1521093722,5795,5853
1521094922,5816,5875
1521095522,5787,5849
1521096121,5840,5902
1521096722,5813,5874
1521097321,5862,5924
1521097921,5768,5832
1521098521,5795,5858
1521099121,5814,5877
1521099722,5829,5890
1521100922,5835,5896
1521101522,5784,5844
1521102121,5767,5827
1521102721,5789,5849
1521103321,5802,5863
1521103921,5847,5908
1521104521,5855,5916
1521105122,5782,5841
1521105721,5817,5876
1521106322,5861,5921
1521106922,5853,5914
1521107521,5883,5944
1521108122,5893,5954
1521108721,5932,5993
1521109321,5959,6020
1521110521,5893,5955
1521111721,5826,5888
1521112922,5794,5856
1521113521,5782,5842
1521114122,5837,5897
1521115322,5852,5915
1521116521,5847,5909
1521117121,5844,5906
1521117721,5900,5962
1521118322,5922,5984
1521118922,5909,5971
1521119522,5930,5992
1521120121,5922,5984
1521120721,5935,5997
1521121321,5914,5975
1521121922,5981,6044
1521122521,5972,6036
1521123122,5999,6063
1521123722,5973,6035
1521124321,5999,6061
1521124922,5938,5999
1521125522,5937,5998
1521126121,5969,6030
1521126722,5977,6038
1521127321,5986,6046
1521128521,5988,6048
1521129721,5969,6029
1521130921,5938,5995
1521131521,5972,6030
1521132122,5969,6026
1521132721,6014,6071
1521133321,6007,6062
1521134521,5921,5976
1521135121,5946,6001
1521135722,5928,5985
1521136321,5965,6022
1521136921,5931,5987
1521137522,5958,6015
1521138122,5982,6039
1521138722,6002,6059
1521139322,6037,6094
1521140522,5968,6022
1521141121,5995,6050
1521141721,5966,6018
1521142321,6008,6060
1521142922,6040,6091
1521144122,6011,6064
1521145321,5992,6043
1521145921,5973,6024
1521146521,5975,6025
1521147722,5989,6039
1521148322,5983,6034
1521148922,5954,6004
1521149522,5956,6007
1521150121,5981,6032
1521150721,5966,6017
1521151321,5992,6043
1521152521,5963,6012
1521153722,6000,6050
1521154322,6033,6083
1521154921,6064,6115
1521155522,6065,6116
1521156721,6008,6058
1521157922,6038,6088
1521158522,6039,6088
1521159122,6070,6119
1521159721,6050,6099
1521160322,6082,6133
1521160921,6068,6119
1521161522,6111,6162
1521162121,6090,6141
1521162722,6020,6070
1521163322,6046,6096
1521164522,6002,6052
1521165121,6019,6068
1521165722,6022,6071
1521166322,6070,6120
1521166921,6074,6124
1521168121,6087,6138
1521169321,6084,6137
1521169922,6091,6144
1521170521,6078,6131
1521171122,6082,6137
1521171721,6060,6115
1521172921,5986,6039
1521174121,5956,6008
1521174722,5962,6015
1521175321,5993,6048
1521175922,5976,6030
1521176521,5977,6032
1521177721,5980,6031
1521178922,5998,6049
1521180122,6011,6063
1521181322,6007,6058
1521182521,5938,5985
1521183122,5962,6009
1521183721,5982,6030
1521184322,5911,5956
1521184922,5963,6008
1521186122,5907,5953
1521187321,5944,5990
1521188522,5938,5983
1521189722,5929,5974
1521190921,5879,5921
1521191521,5893,5933
1521192122,5945,5985
1521193322,5890,5930
1521193921,5877,5917
1521194522,5912,5952
1521195122,5863,5903
1521195721,5881,5923
1521196922,5920,5962
1521198121,5919,5958
1521199321,5924,5963
1521200522,5875,5914
1521201721,5917,5956
1521202922,5922,5960
1521204122,5885,5921
1521204721,5899,5935
1521205322,5890,5927
1521206521,5857,5894
1521207722,5817,5854
1521208321,5792,5830
1521208921,5806,5844
1521210122,5787,5823
1521210722,5780,5815
1521211322,5818,5854
1521212522,5795,5832
1521213121,5768,5805
1521213722,5714,5751
1521214322,5747,5784
1521214922,5787,5824
1521216121,5804,5838
1521217321,5855,5890
1521217921,5873,5909
1521218521,5878,5913
1521219122,5845,5881
1521219721,5884,5921
1521220921,5826,5861
1521222121,5776,5810
1521223322,5752,5786
1521224521,5716,5749
1521225721,5738,5771
1521226922,5739,5771
1521227522,5734,5769
1521228122,5717,5752
1521228722,5651,5686
1521229321,5646,5681
1521229921,5680,5715
1521230521,5690,5725
1521231722,5680,5714
1521232321,5674,5709
1521232922,5706,5741
1521233522,5702,5737
1521234122,5739,5775
1521235321,5749,5786
1521236521,5658,5694
1521237121,5660,5695
1521237721,5649,5684
1521238321,5680,5721
1521238922,5715,5756
1521239522,5713,5753
1521240122,5701,5741
1521241921,5650,5689
1521242521,5666,5707
1521243121,5701,5742
1521243722,5673,5714
1521244323,5691,5731
1521244922,5736,5776
1521246122,5676,5716
1521247322,5624,5664
1521248521,5608,5649
1521249721,5596,5635
1521250322,5647,5687
1521250922,5691,5731
1521252121,5659,5700
1521253321,5600,5641
1521253922,5635,5676
1521254522,5629,5669
1521255721,5615,5652
1521256922,5559,5596
1521258122,5526,5562
1521259321,5526,5562
1521259922,5519,5556
1521260522,5548,5586
1521261721,5534,5570
1521262322,5571,5607
1521262921,5543,5578
1521264122,5522,5559
1521265322,5460,5496
1521265921,5478,5514
1521266522,5490,5525
1521267121,5519,5554
1521267721,5510,5546
1521268922,5547,5583
1521269522,5469,5504
1521270122,5496,5531
1521271322,5446,5480
1521272522,5501,5535
1521273721,5504,5537
1521274921,5492,5524
1521276122,5535,5567
1521276721,5520,5552
