DateTime,AddedIPs,RemovedIPs
1520941509,166,140
1520942897,24,1461
1520943339,99,133
1520943524,55,0
1520944320,0,17537
1520944817,29,40
1520945508,17549,0
1520946470,61,123
1520946737,775,0
1520948156,75,0
1520948665,67,183
1520950584,198,102
1520952498,122,189
1520952801,79,0
1520953806,68,99
1520954412,30,29
1520954887,111,2
1520955011,512,1278
1520956329,32,38
1520957155,172,492
1520958257,63,27
1520958611,65,2
1520960189,18,43
1520960589,182,287
1520961576,65,2
1520962092,24,41
1520962513,56,201
1520963126,0,511
1520964019,47,36
1520964926,0,17104
1520966027,17176,18
1520966709,71,0
1520967857,76,161
1520969552,84,0
1520970264,163,215
1520970966,61,120
1520971810,61,1
1520972427,36,43
1520972887,75,1
1520974343,14,35
1520975408,207,343
1520976268,14,29
1520977525,146,178
1520978176,14,35
1520978462,83,85
1520979332,63,0
1520980090,14,39
1520980108,60,1
1520982045,109,266
1520982183,74,86
1520983207,95,0
1520983949,40,53
1520984411,139,98
1520985870,71,43
1520986209,147,109
1520987774,44,36
1520988128,133,230
1520989709,717,0
1520990407,156,85
1520991613,5,15
1520992510,162,387
1520993545,69,11
1520994487,76,0
1520995454,10,9
1520995533,52,148
1520997381,22,25
1520998212,69,115
1520999295,118,166
1521000400,176,180
1521001220,11,25
1521001950,41,0
1521003140,97,230
1521004549,166,95
1521005060,20,34
1521005447,72,136
1521006127,65,0
1521006971,18,18
1521007807,119,192
1521008899,97,15
1521010830,168,452
1521011741,71,1
1521012745,33,23
1521013202,0,16644
1521014663,30,47
1521015247,16778,0
1521016590,114,304
1521016954,64,37
1521017944,98,109
1521018509,32,29
1521018941,100,0
1521019813,91,0
1521020422,22,35
1521022354,77,473
1521023412,157,89
1521024509,110,167
1521024907,113,0
1521025808,86,128
1521026420,44,66
1521026710,77,0
1521027607,55,178
1521028341,21,52
1521029170,127,93
1521030257,66,1341
1521030637,64,106
1521032683,680,131
1521033607,92,0
1521034578,36,16
1521035139,75,265
1521036510,46,21
1521036939,141,150
1521037814,64,123
1521038416,19,18
1521038709,80,47
1521040352,32,14
1521040540,152,1348
1521042482,43,26
1521042981,261,261
1521044125,84,138
1521044660,29,21
1521045512,1008,0
1521045910,181,168
1521046817,74,43
1521047724,168,75
1521048735,115,148
1521049510,77,59
1521050663,38,13
1521051324,152,97
1521052087,132,0
1521052582,27,13
1521052968,78,210
1521053938,83,148
1521054493,38,14
1521054927,99,0
1521055813,84,1
1521056417,27,17
1521057868,164,274
1521058354,22,24
1521058807,571,0
1521060250,25,21
1521060310,96,125
1521062176,230,208
1521064102,378,186
1521064566,89,84
1521065406,59,0
1521066010,7,30
1521067324,0,16955
1521067946,18,21
1521068185,17029,0
1521069336,68,80
1521069852,13,20
1521070222,76,121
1521071109,87,256
1521072037,36,53
1521072613,122,131
1521073940,11,24
1521074704,0,17062
1521075851,565,0
1521076209,16986,0
1521077728,13,15
1521079703,286,293
1521081611,98,18
1521081723,62,180
1521083791,389,97
1521085181,173,111
1521085696,25,25
1521086167,85,150
1521087005,0,16959
1521087614,27,21
1521088927,16977,0
1521089547,21,20
1521090933,154,96
1521091454,26,21
1521092416,103,119
1521093378,84,145
1521094208,63,0
1521095292,44,14
1521095418,71,129
1521096302,64,38
1521097215,50,27
1521098130,406,66
1521099141,77,17
1521099608,58,133
1521100507,72,134
1521101071,28,21
1521101409,63,1
1521101728,26,1
1521102652,63,2
1521102974,30,22
1521104404,131,427
1521104905,20,39
1521105333,58,0
1521106811,16,25
1521107440,145,484
1521108738,38,26
1521108932,122,292
1521109724,64,0
1521110662,113,299
1521112574,101,110
1521112806,30,0
1521113776,52,151
1521114495,36,31
1521116927,146,1278
1521117307,50,143
1521118822,520,0
1521119735,95,79
1521120007,40,0
1521120746,59,8
1521120756,35,0
1521121749,72,160
1521122910,87,16
1521124822,164,87
1521125102,89,162
1521126752,64,23
1521126940,85,130
1521127688,40,0
1521128663,60,9
1521129603,59,314
1521130804,62,8
1521131446,135,275
1521131535,0,1023
1521132740,123,50
1521133810,83,96
1521134664,49,25
1521135730,121,189
1521136576,35,17
1521136803,20,0
1521137408,45,86
1521138496,52,11
1521138972,1021,0
1521139507,92,187
1521140423,165,113
1521141317,40,0
1521141908,44,1
1521142344,33,30
1521144003,109,278
1521144259,33,25
1521144609,45,1
1521144918,0,256
1521146174,31,30
1521146236,106,110
1521148110,62,30
1521148519,99,160
1521149440,77,125
1521150022,59,24
1521150307,44,42
1521151941,56,16
1521152904,121,67
1521153859,39,18
1521154804,53,251
1521157176,138,420
1521157521,63,169
1521158409,0,255
1521159153,28,15125
1521159307,15130,0
1521160216,36,125
1521161080,23,15
1521161103,41,50
1521163083,564,110
1521163882,0,14937
1521164968,14927,4
