DateTime,AddedIPs,RemovedIPs
1521229460,55,68
1521230433,47,80
1521231376,75,54
1521232350,53,111
1521233295,52,57
1521234271,124,120
1521235211,438,44
1521236191,489,123
1521237137,61,61
1521238118,192,1201
1521239054,39,73
1521240021,65,106
1521242219,101,241
1521243143,53,0
1521244102,64,53
1521245061,65,126
1521246031,41,55
1521246975,61,93
1521247960,42,66
1521248897,74,109
1521249868,40,92
1521250825,63,63
1521251779,44,95
1521252743,53,33
1521253705,42,106
1521254657,56,50
1521255634,57,81
1521256575,34,86
1521257559,60,79
1521258493,49,36
1521259466,79,106
1521260416,46,100
1521261648,89,86
1521262571,17,97
1521263548,100,51
1521264491,20,105
1521265485,84,68
1521266421,37,110
1521267407,46,61
1521268338,45,149
1521269315,33,60
1521270260,55,162
1521271231,37,39
1521272174,66,203
1521273147,35,114
1521274096,70,118
1521275080,38,116
1521276013,53,150
1521276980,26,96
1521277941,83,77
1521278900,39,71
1521279871,47,31
1521280842,30,43
1521281788,61,42
1521282754,48,74
1521283760,43,36
1521284674,60,90
1521285614,35,61
1521286598,44,46
1521287533,49,49
1521288533,63,39
1521289469,17,47
1521290422,67,67
1521291373,15,58
1521292367,64,40
1521293292,19,77
1521294264,71,29
1521295225,9,71
1521296194,70,16
1521297140,42,61
1521298102,45,51
1521299060,64,61
1521300030,33,63
1521300974,45,65
1521301959,45,55
1521302896,73,49
1521303865,41,50
1521304818,55,49
1521305792,15,36
1521306742,94,51
1521307729,73,101
1521308719,57,59
1521309640,41,61
1521310572,54,69
1521311562,47,80
1521312496,48,48
1521313469,66,67
1521314414,52,66
1521315397,71,53
1521316333,67,82
1521317313,79,37
1521318338,46,112
1521319468,83,48
1521320419,60,69
1521321391,370,67
1521322339,583,60
1521323317,51,80
1521324506,184,1004
1521325454,36,77
1521326935,104,139
1521327861,62,0
1521328819,43,179
1521329924,75,0
1521330971,35,149
1521331943,83,0
1521332901,33,155
1521333858,70,0
1521334815,42,54
1521335788,69,150
1521336738,39,0
1521337700,47,47
1521338659,58,89
1521339613,32,91
1521340590,60,50
1521341553,31,35
1521342496,46,86
1521343459,26,30
1521344418,82,100
1521345389,23,27
1521346340,65,85
1521347298,15,60
1521348279,99,85
1521349224,12,57
1521350171,68,49
1521351152,39,64
1521352094,77,48
1521353062,9,66
1521354011,68,31
1521355000,49,111
1521355936,28,22
1521356897,93,75
1521357855,24,60
1521358820,78,116
1521359770,39,47
1521360756,40,83
1521361695,19,98
1521362667,87,53
1521363625,26,37
1521364586,72,164
1521365538,32,0
1521366496,74,0
1521367475,40,0
1521368418,46,57
1521369377,15,47
1521370351,66,52
1521371297,58,33
1521372256,37,54
